,text,dominant_topics,dominant_topics_words
1043,A great cultural space and a great place to admire.,"[4, 13]","parking, de, casa, dishes, good, city, mexico, center, beautiful, historic"
1044,The organ is spectacular.,[0],"good, beautiful, place, eat, service"
1045,Excellent very pretty,"[1, 5]","love, recommended, highly, expensive, fine, closed, interesting, noisy, horrible, favorite"
1046,"Mexico City Metropolitan Cathedral: Jewel of the Capital's ZÃ³calo
The Metropolitan Cathedral of the Assumption of the Blessed Virgin Mary into Heaven in Mexico City stands as one of the most emblematic and majestic monuments in Latin America, dominating the north side of the ZÃ³calo or Plaza de la ConstituciÃ³n in the heart of Mexico City's Historic Center.
History and Construction
The history of this monumental cathedral dates back to the colonial period. After the conquest of Mexico-TenochtitlÃ¡n, HernÃ¡n CortÃ©s ordered the construction of a first major church in 1524, built with stones from destroyed indigenous temples and strategically located where the four causeways leading to the Aztec spiritual center converged. However, this initial construction soon proved insufficient for the spiritual needs of the viceroyalty's capital. Construction of the current cathedral formally began in 1573, under the direction of the Spanish architect Claudio de Arciniega, who was inspired by the cathedrals of JaÃ©n and Valladolid. The project represented a titanic undertaking that spanned 240 years, concluding in 1813 under the direction of architect Manuel TolsÃ¡.
Architectural Features
The cathedral is an extraordinary compendium of architectural styles that reflects the different periods of its construction. Its main faÃ§ade displays the Renaissance, Baroque, and Neoclassical styles that developed during the Viceroyalty. The dimensions of the temple are impressive: 61 meters wide by 128 meters long and 67 meters high to the top of the towers.
The interior consists of five naves with a transept, with 51 vaults, 74 arches, and 40 columns. The structure includes fourteen side chapels, each with its own character and artistic treasures. The floor is made of Tepeaca marble, and its walls and vaults are made of stone.
Artistic Treasures
Among the most notable artistic treasures is the Altar of the Kings, considered one of the masterpieces of Churrigueresque Baroque in the Americas. This magnificent work was created by JerÃ³nimo de BalbÃ¡s between 1718 and 1725, and gilded by Francisco MartÃ­nez in 1736. The altarpiece measures 25 meters high, 13 meters wide, and 7 meters deep, and is made of carved white cedar wood covered with gold leaf. The Altar of Forgiveness, also by JerÃ³nimo de BalbÃ¡s, is located in the central nave along with the Cathedral Choir, which features two magnificent organs. The paintings decorating the Altar of the Kings are by the prominent artist Juan RodrÃ­guez JuÃ¡rez, including ""The Assumption of the Virgin Mary"" and ""The Adoration of the Magi.""
The ZÃ³calo: Historical Context
The cathedral is located in Constitution Square, popularly known as the ZÃ³calo, which, at 46,800 square meters, is the second largest square in the world after Tiananmen Square. This square was named in honor of the CÃ¡diz Constitution promulgated in 1812. The term ""ZÃ³calo"" comes from the base built during the government of Antonio LÃ³pez de Santa Anna to erect a commemorative column of independence. The foundation was never completed, but its base remained in place for several years. Since pre-Hispanic times, this space has been the spiritual, political, and cultural center of Mexico, serving as the setting for important historical events.
World Heritage Site
The Metropolitan Cathedral, along with the Historic Center of Mexico City, was declared a World Heritage Site by UNESCO in 1987. This recognition is due to its exceptional architectural value and historical significance as a testament to the fusion of Indigenous and Spanish cultures.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
1047,"Have a great time, and food was amazing.","[6, 8, 13]","nice, great, amazing, place, food, place, wonderful, visit, castle, great, city, mexico, center, beautiful, historic"
1048,Delicious food ! Ceviche on the summer menu was great. Margaritas are expensive though !!!,"[8, 11, 13]","place, wonderful, visit, castle, great, excellent, service, place, attention, station, city, mexico, center, beautiful, historic"
1049,Best fried chicken tacos I've ever had,[],
1050,Great atmosphere and service!,"[9, 13]","toos, house, super, serve, quickly, city, mexico, center, beautiful, historic"
1051,"After 10 minutes of being seated,  no one acknowledged us. We left to find another restaurant.",[],
1052,"Cool Mexican joint with swings you can sit at. The service was a little slow, and the food was decent.","[6, 8]","nice, great, amazing, place, food, place, wonderful, visit, castle, great"
1053,Delicious food. Fast and friendly. Great atmosphere with a lot of energy.,"[8, 11, 13]","place, wonderful, visit, castle, great, excellent, service, place, attention, station, city, mexico, center, beautiful, historic"
1054,"Fun Mexican street food with great design.  Where else can you seat while sitting in a swing?

The menu here is Mexican street food - tacos, nachos, etc.  The food is delicious and reasonably priced, although not cheap.  Tacos were priced around $5 each when I visited.

The nachos were delicious and easily serve 2.

The college-aged host seemed completely lost but our server was top notch.

If your out doing a Tejon Street bar crawl with friends or stoned, Zocalo is the perfect place for a casual dinner.",[8],"place, wonderful, visit, castle, great"
1055,"Sergio is the owner and he serves food, talks to patrons and I can see how much his staff admire him. Everyone was happy. The staff all have good vibes and with Sergio leading, I can see he sets the tone. The food is so fresh and seasoned so perfectly. Sergio said that his recipes come from old Mexico City, very traditional. The margaritas are so delicious and they use fresh juices, no store bought mix. I had the Classico with Mezcal, instead of tequila. It comes with a sun-dried lime and has perfect balance. Not too sweet, not bitter, not too acidic, and a perfect amount of liquor. I love the refried beans-smooth, seasoned so well and a little touch of imported Mexican cheese that is nutty, and actually has flavor, as opposed to the normal bland cheese that many other restaurants serve. The Mexican rice has a hint of saffron with rich tomatoes. I usually donât eat the rice but this rice is irresistible. I had the fajitas, the combo of steak and shrooms. The steak is smokey, with a tangy mouth-watering dose of lime. The shrooms are meaty and would make a great vegan or vegetarian meal. It comes with red peppers and onions that still have a bit of crunch. The chips are perfectly cooked, crisp and seasoned. They come in a brown paper bag and if your lucky, they may be right out of the fryer. The ambiance is fun and they have swings to sit on. The kids will love this and so do the adults. The music is also great. Sergio wanted me to try the birria taco and gave me one for free. So damn good. He also gave me some tamales to take home. He told me he likes to keep his prices reasonable and they are. Do yourself a favor, and eat there. I promise, you will leave happy. I canât remember any restaurant owner giving free food, sitting at your table to talk about where you are from and expressing gratitude for dining at their establishment. Times have changed, but at Zocalo, you feel valued and to me, that means so much.","[0, 6, 7]","good, beautiful, place, eat, service, nice, great, amazing, place, food, food, service, bad, tacos, order"
